ID,condition,recallcollect,instructioncollect,trialcollect,correctcollect,keyassignment
1,ind,S,F,23,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,L,23,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,J,23,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,24,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,24,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,24,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,24,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,24,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,K,24,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,24,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,S,24,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,24,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,F,24,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,24,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,24,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,25,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,25,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,25,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,L,25,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,25,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,K,25,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,25,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,S,25,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,25,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,F,25,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,L,25,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,25,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,26,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,26,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,26,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,L,26,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,26,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,K,26,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,26,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,S,26,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,26,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,F,26,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,26,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,J,26,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,27,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,D,27,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,S,27,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,27,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,27,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,K,27,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,J,27,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,27,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,27,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,F,27,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,27,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,J,27,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,28,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,D,28,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,28,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,28,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,L,28,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,K,28,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,J,28,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,28,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,S,28,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,F,28,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,L,28,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,28,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,29,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,29,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,29,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,29,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,L,29,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,K,29,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,J,29,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,29,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,F,S,29,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,F,29,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,29,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,J,29,0,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,J,J,30,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,D,D,30,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,S,S,30,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,30,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,L,L,30,1,"['F', 'S', 'D', 'L', 'K', 'J']"
1,ind,K,K,30,1,"['F', 'S', 'D', 'L', 'K', 'J']"
